days,CategoryName,total_sales
2018-02-18,Confections,55579.0
2018-02-18,Dairy Products,45388.0
2018-02-18,Grains/Cereals,24852.0
2018-02-18,Meat/Poultry,73334.0
2018-02-18,Produce,32600.0
2018-02-18,Seafood,42975.0
2018-02-19,Beverages,88622.0
2018-02-19,Condiments,45485.0
2018-02-19,Confections,66525.75
2018-02-19,Dairy Products,50577.0
2018-02-19,Grains/Cereals,26265.0
2018-02-19,Meat/Poultry,56537.0
2018-02-19,Produce,27334.0
2018-02-19,Seafood,47269.0
2018-02-20,Beverages,89450.0
2018-02-20,Condiments,47188.0
2018-02-20,Confections,55947.0
2018-02-20,Dairy Products,51048.0
2018-02-20,Grains/Cereals,25046.0
2018-02-20,Meat/Poultry,72387.0
2018-02-20,Produce,24827.0
2018-02-20,Seafood,39638.0
2018-02-21,Beverages,107326.0
2018-02-21,Condiments,69172.0
2018-02-21,Confections,75348.0
2018-02-21,Dairy Products,58798.0
2018-02-21,Grains/Cereals,26602.0
2018-02-21,Meat/Poultry,79572.0
2018-02-21,Produce,37823.0
2018-02-21,Seafood,58325.0
2018-02-22,Beverages,57058.0
2018-02-22,Condiments,53371.2
2018-02-22,Confections,74633.0
2018-02-22,Dairy Products,56442.0
2018-02-22,Grains/Cereals,28040.0
2018-02-22,Meat/Poultry,48785.0
2018-02-22,Produce,30150.0
2018-02-22,Seafood,45263.0
2018-02-23,Beverages,38236.0
2018-02-23,Condiments,30898.0
2018-02-23,Confections,42295.0
2018-02-23,Dairy Products,37638.0
2018-02-23,Grains/Cereals,19477.0
2018-02-23,Meat/Poultry,29751.0
2018-02-23,Produce,20557.0
2018-02-23,Seafood,28206.0
2018-02-24,Beverages,114231.0
2018-02-24,Condiments,67645.0
2018-02-24,Confections,59630.0
2018-02-24,Dairy Products,75129.0
2018-02-24,Grains/Cereals,26549.0
2018-02-24,Meat/Poultry,52738.0
2018-02-24,Produce,38880.0
2018-02-24,Seafood,54143.0
2018-02-25,Beverages,41285.0
2018-02-25,Condiments,22838.0
2018-02-25,Confections,37157.0
2018-02-25,Dairy Products,27845.0
2018-02-25,Grains/Cereals,12994.0
2018-02-25,Meat/Poultry,46716.0
2018-02-25,Produce,17396.0
2018-02-25,Seafood,24390.0
2018-02-26,Beverages,85523.0
2018-02-26,Condiments,39997.0
2018-02-26,Confections,68365.0
2018-02-26,Dairy Products,54697.0
2018-02-26,Grains/Cereals,30470.0
2018-02-26,Meat/Poultry,49666.0
2018-02-26,Produce,35883.0
2018-02-26,Seafood,45691.0
2018-02-27,Beverages,141940.0
2018-02-27,Condiments,77151.0
2018-02-27,Confections,81801.0
2018-02-27,Dairy Products,88526.0
2018-02-27,Grains/Cereals,38181.0
2018-02-27,Meat/Poultry,110028.0
2018-02-27,Produce,51986.0
2018-02-27,Seafood,61781.0
2018-02-28,Beverages,250243.5
2018-02-28,Condiments,176862.0
2018-02-28,Confections,201343.0
2018-02-28,Dairy Products,216458.0
2018-02-28,Grains/Cereals,101852.0
2018-02-28,Meat/Poultry,234355.0
2018-02-28,Produce,87443.0
2018-02-28,Seafood,162233.0
2018-03-01,Beverages,39421.0
2018-03-01,Condiments,25637.0
2018-03-01,Confections,25800.0
2018-03-01,Dairy Products,27325.0
2018-03-01,Grains/Cereals,15173.0
2018-03-01,Meat/Poultry,31576.0
2018-03-01,Produce,11588.0
2018-03-01,Seafood,25803.0
2018-03-02,Beverages,68007.0
2018-03-02,Condiments,43650.0
2018-03-02,Confections,41651.0
2018-03-02,Dairy Products,43586.0
2018-03-02,Grains/Cereals,18556.0
2018-03-02,Meat/Poultry,48985.0
2018-03-02,Produce,15102.0
2018-03-02,Seafood,32210.0
2018-03-03,Beverages,55854.0
2018-03-03,Condiments,40137.0
2018-03-03,Confections,49622.0
2018-03-03,Dairy Products,45240.0
2018-03-03,Grains/Cereals,21719.0
2018-03-03,Meat/Poultry,59232.0
2018-03-03,Produce,31182.0
2018-03-03,Seafood,44560.0
2018-03-04,Beverages,52142.0
2018-03-04,Condiments,34337.0
2018-03-04,Confections,39864.0
2018-03-04,Dairy Products,41555.0
2018-03-04,Grains/Cereals,16523.0
2018-03-04,Meat/Poultry,47086.0
2018-03-04,Produce,17375.0
2018-03-04,Seafood,37908.0
2018-03-05,Beverages,51140.9
2018-03-05,Condiments,43807.0
2018-03-05,Confections,47424.0
2018-03-05,Dairy Products,45872.5
2018-03-05,Grains/Cereals,18924.0
2018-03-05,Meat/Poultry,41496.0
2018-03-05,Produce,25567.0
2018-03-05,Seafood,31882.0
2018-03-06,Beverages,49407.0
2018-03-06,Condiments,42984.0
2018-03-06,Confections,40588.0
2018-03-06,Dairy Products,27209.0
2018-03-06,Grains/Cereals,16914.0
2018-03-06,Meat/Poultry,44985.0
2018-03-06,Produce,25013.0
2018-03-06,Seafood,30134.0
2018-03-07,Beverages,43513.6
2018-03-07,Condiments,24574.0
2018-03-07,Confections,16071.0
2018-03-07,Dairy Products,28568.8
2018-03-07,Grains/Cereals,9018.0
2018-03-07,Meat/Poultry,30945.0
2018-03-07,Produce,11150.0
2018-03-07,Seafood,18356.0
2018-03-08,Beverages,47075.0
2018-03-08,Condiments,29032.0
2018-03-08,Confections,36374.0
2018-03-08,Dairy Products,31964.0
2018-03-08,Grains/Cereals,16027.0
2018-03-08,Meat/Poultry,35391.0
2018-03-08,Produce,15999.0
2018-03-08,Seafood,24187.0
2018-03-09,Beverages,51605.0
2018-03-09,Condiments,26174.0
2018-03-09,Confections,30243.0
2018-03-09,Dairy Products,26597.0
2018-03-09,Grains/Cereals,14051.0
2018-03-09,Meat/Poultry,18452.0
2018-03-09,Produce,16154.0
2018-03-09,Seafood,28987.0
2018-03-10,Beverages,46780.0
2018-03-10,Condiments,37866.0
2018-03-10,Confections,58976.0
2018-03-10,Dairy Products,53844.0
2018-03-10,Grains/Cereals,26155.0
2018-03-10,Meat/Poultry,58133.0
2018-03-10,Produce,21473.0
2018-03-10,Seafood,44720.0
2018-03-11,Beverages,114995.0
2018-03-11,Condiments,63460.0
2018-03-11,Confections,71462.0
2018-03-11,Dairy Products,65970.0
2018-03-11,Grains/Cereals,30964.0
2018-03-11,Meat/Poultry,48028.0
2018-03-11,Produce,38030.0
2018-03-11,Seafood,63401.0
2018-03-12,Beverages,73235.0
2018-03-12,Condiments,39001.0
2018-03-12,Confections,24812.0
2018-03-12,Dairy Products,40226.0
2018-03-12,Grains/Cereals,18966.0
2018-03-12,Meat/Poultry,48078.0
2018-03-12,Produce,20025.0
2018-03-12,Seafood,36726.0
2018-03-13,Beverages,91809.0
2018-03-13,Condiments,52432.0
2018-03-13,Confections,55257.0
2018-03-13,Dairy Products,53551.0
2018-03-13,Grains/Cereals,27356.0
2018-03-13,Meat/Poultry,46543.75
2018-03-13,Produce,35225.0
2018-03-13,Seafood,40177.0
2018-03-14,Beverages,52338.0
2018-03-14,Condiments,38408.0
2018-03-14,Confections,51065.0
2018-03-14,Dairy Products,36403.0
2018-03-14,Grains/Cereals,12437.0
2018-03-14,Meat/Poultry,44023.0
2018-03-14,Produce,15174.0
2018-03-14,Seafood,26747.0
2018-03-15,Beverages,31130.0
2018-03-15,Condiments,29423.0
2018-03-15,Confections,40569.0
2018-03-15,Dairy Products,26040.0
2018-03-15,Grains/Cereals,8170.0
2018-03-15,Meat/Poultry,27996.0
2018-03-15,Produce,12688.0
2018-03-15,Seafood,26809.0
2018-03-16,Beverages,48552.0
2018-03-16,Condiments,35379.0
2018-03-16,Confections,47015.0
2018-03-16,Dairy Products,38917.0
2018-03-16,Grains/Cereals,19395.0
2018-03-16,Meat/Poultry,31100.0
2018-03-16,Produce,17396.0
2018-03-16,Seafood,36569.0
2018-03-17,Beverages,50180.0
2018-03-17,Condiments,23500.0
2018-03-17,Confections,28401.0
2018-03-17,Dairy Products,30316.0
2018-03-17,Grains/Cereals,11915.0
2018-03-17,Meat/Poultry,25083.0
2018-03-17,Produce,20337.0
2018-03-17,Seafood,23416.0
2018-03-18,Beverages,78178.0
2018-03-18,Condiments,40050.0
2018-03-18,Confections,49891.0
2018-03-18,Dairy Products,47929.0
2018-03-18,Grains/Cereals,26868.0
2018-03-18,Meat/Poultry,52508.0
2018-03-18,Produce,25020.0
2018-03-18,Seafood,41487.0
2018-03-19,Beverages,77180.25
2018-03-19,Condiments,52059.0
2018-03-19,Confections,54117.75
2018-03-19,Dairy Products,50109.0
2018-03-19,Grains/Cereals,22419.0
2018-03-19,Meat/Poultry,54300.0
2018-03-19,Produce,25684.0
2018-03-19,Seafood,47273.0
2018-03-20,Beverages,64811.0
2018-03-20,Condiments,27021.0
2018-03-20,Confections,40868.0
2018-03-20,Dairy Products,28867.0
2018-03-20,Grains/Cereals,13398.0
2018-03-20,Meat/Poultry,35668.8
2018-03-20,Produce,23952.0
2018-03-20,Seafood,22086.0
2018-03-21,Beverages,163451.0
2018-03-21,Condiments,83598.0
2018-03-21,Confections,110318.0
2018-03-21,Dairy Products,96901.0
2018-03-21,Grains/Cereals,38702.0
2018-03-21,Meat/Poultry,92908.0
2018-03-21,Produce,38615.0
2018-03-21,Seafood,77929.0
2018-03-22,Beverages,53814.0
2018-03-22,Condiments,23050.0
2018-03-22,Confections,39716.0
2018-03-22,Dairy Products,28925.0
2018-03-22,Grains/Cereals,12333.0
2018-03-22,Meat/Poultry,31961.0
2018-03-22,Produce,20838.0
2018-03-22,Seafood,27865.5
2018-03-23,Beverages,55833.0
2018-03-23,Condiments,37318.0
2018-03-23,Confections,34610.0
2018-03-23,Dairy Products,36100.0
2018-03-23,Grains/Cereals,17772.0
2018-03-23,Meat/Poultry,45788.0
2018-03-23,Produce,21998.0
2018-03-23,Seafood,35793.0
2018-03-24,Beverages,43942.0
2018-03-24,Condiments,30707.0
2018-03-24,Confections,33190.0
2018-03-24,Dairy Products,27808.0
2018-03-24,Grains/Cereals,15295.0
2018-03-24,Meat/Poultry,33909.0
2018-03-24,Produce,16810.0
2018-03-24,Seafood,27008.0
2018-03-25,Beverages,49647.0
2018-03-25,Condiments,45811.0
2018-03-25,Confections,46710.0
2018-03-25,Dairy Products,51511.0
2018-03-25,Grains/Cereals,26171.0
2018-03-25,Meat/Poultry,53495.0
2018-03-25,Produce,27526.0
2018-03-25,Seafood,35568.0
2018-03-26,Beverages,83116.0
2018-03-26,Condiments,49006.0
2018-03-26,Confections,53350.0
2018-03-26,Dairy Products,50272.0
2018-03-26,Grains/Cereals,29390.0
2018-03-26,Meat/Poultry,60547.0
2018-03-26,Produce,27833.0
2018-03-26,Seafood,39613.0
2018-03-27,Beverages,62093.0
2018-03-27,Condiments,18864.6
2018-03-27,Confections,24911.0
2018-03-27,Dairy Products,21989.0
2018-03-27,Grains/Cereals,6326.0
2018-03-27,Meat/Poultry,28644.0
2018-03-27,Produce,10285.6
2018-03-27,Seafood,21852.0
2018-03-28,Beverages,80356.0
2018-03-28,Condiments,38462.0
2018-03-28,Confections,49295.0
2018-03-28,Dairy Products,39427.0
2018-03-28,Grains/Cereals,21285.0
2018-03-28,Meat/Poultry,47573.0
2018-03-28,Produce,20671.0
2018-03-28,Seafood,33270.0
2018-03-29,Beverages,37216.0
2018-03-29,Condiments,16013.0
2018-03-29,Confections,24515.0
2018-03-29,Dairy Products,14445.0
2018-03-29,Grains/Cereals,6667.0
2018-03-29,Meat/Poultry,24261.0
2018-03-29,Produce,14601.0
2018-03-29,Seafood,17235.0
2018-03-30,Beverages,106497.0
2018-03-30,Condiments,67469.0
2018-03-30,Confections,77366.0
2018-03-30,Dairy Products,64951.0
2018-03-30,Grains/Cereals,32779.0
2018-03-30,Meat/Poultry,84491.0
2018-03-30,Produce,37038.0
2018-03-30,Seafood,54857.0
2018-03-31,Beverages,45123.0
2018-03-31,Condiments,19174.0
2018-03-31,Confections,32795.0
2018-03-31,Dairy Products,21603.0
2018-03-31,Grains/Cereals,21643.0
2018-03-31,Meat/Poultry,35655.0
2018-03-31,Produce,10950.0
2018-03-31,Seafood,28718.0
2018-04-01,Beverages,93489.0
2018-04-01,Condiments,56861.0
2018-04-01,Confections,70794.0
2018-04-01,Dairy Products,58196.0
2018-04-01,Grains/Cereals,27054.0
2018-04-01,Meat/Poultry,63055.0
2018-04-01,Produce,41978.0
2018-04-01,Seafood,51201.0
2018-04-02,Beverages,112754.0
2018-04-02,Condiments,58372.0
2018-04-02,Confections,72980.0
2018-04-02,Dairy Products,72372.0
2018-04-02,Grains/Cereals,34679.0
2018-04-02,Meat/Poultry,83995.0
2018-04-02,Produce,34634.0
2018-04-02,Seafood,62013.0
2018-04-03,Beverages,97712.0
2018-04-03,Condiments,52951.0
2018-04-03,Confections,55073.0
2018-04-03,Dairy Products,58308.0
2018-04-03,Grains/Cereals,29749.0
2018-04-03,Meat/Poultry,72712.0
2018-04-03,Produce,33784.0
2018-04-03,Seafood,53539.0
2018-04-04,Beverages,48712.0
2018-04-04,Condiments,31986.0
2018-04-04,Confections,23760.0
2018-04-04,Dairy Products,25742.0
2018-04-04,Grains/Cereals,12852.0
2018-04-04,Meat/Poultry,18549.0
2018-04-04,Produce,14276.0
2018-04-04,Seafood,27440.0
2018-04-05,Beverages,45572.0
2018-04-05,Condiments,32138.0
2018-04-05,Confections,31917.0
2018-04-05,Dairy Products,36940.0
2018-04-05,Grains/Cereals,18489.0
2018-04-05,Meat/Poultry,48519.0
2018-04-05,Produce,18047.0
2018-04-05,Seafood,27014.0
2018-04-06,Beverages,78735.0
2018-04-06,Condiments,40718.0
2018-04-06,Confections,45200.0
2018-04-06,Dairy Products,51277.0
2018-04-06,Grains/Cereals,23550.0
2018-04-06,Meat/Poultry,52413.0
2018-04-06,Produce,18687.0
2018-04-06,Seafood,36902.0
2018-04-07,Beverages,105879.0
2018-04-07,Condiments,50980.0
2018-04-07,Confections,56016.0
2018-04-07,Dairy Products,56882.0
2018-04-07,Grains/Cereals,30433.0
2018-04-07,Meat/Poultry,63704.0
2018-04-07,Produce,33391.0
2018-04-07,Seafood,52085.0
2018-04-08,Beverages,53832.0
2018-04-08,Condiments,51868.0
2018-04-08,Confections,48750.0
2018-04-08,Dairy Products,53603.0
2018-04-08,Grains/Cereals,26004.0
2018-04-08,Meat/Poultry,50921.0
2018-04-08,Produce,29061.0
2018-04-08,Seafood,47807.0
2018-04-09,Beverages,22295.0
2018-04-09,Condiments,9747.0
2018-04-09,Confections,17585.0
2018-04-09,Dairy Products,16608.0
2018-04-09,Grains/Cereals,5560.0
2018-04-09,Meat/Poultry,17743.0
2018-04-09,Produce,6040.0
2018-04-09,Seafood,13800.0
2018-04-10,Beverages,79756.0
2018-04-10,Condiments,41716.0
2018-04-10,Confections,45669.0
2018-04-10,Dairy Products,45683.0
2018-04-10,Grains/Cereals,19531.0
2018-04-10,Meat/Poultry,62950.0
2018-04-10,Produce,21019.0
2018-04-10,Seafood,43876.0
2018-04-11,Beverages,73819.0
2018-04-11,Condiments,44740.0
2018-04-11,Confections,44602.0
2018-04-11,Dairy Products,45532.0
2018-04-11,Grains/Cereals,26152.0
2018-04-11,Meat/Poultry,45765.0
2018-04-11,Produce,26407.0
2018-04-11,Seafood,37192.0
2018-04-12,Beverages,53984.0
2018-04-12,Condiments,36971.0
2018-04-12,Confections,39985.0
2018-04-12,Dairy Products,34908.0
2018-04-12,Grains/Cereals,20863.0
2018-04-12,Meat/Poultry,41451.0
2018-04-12,Produce,20518.0
2018-04-12,Seafood,24191.0
2018-04-13,Beverages,103187.0
2018-04-13,Condiments,52987.0
2018-04-13,Confections,76553.0
2018-04-13,Dairy Products,59885.0
2018-04-13,Grains/Cereals,34501.0
2018-04-13,Meat/Poultry,83669.5
2018-04-13,Produce,30969.0
2018-04-13,Seafood,58731.0
2018-04-14,Beverages,31113.0
2018-04-14,Condiments,24372.0
2018-04-14,Confections,21950.0
2018-04-14,Dairy Products,26127.0
2018-04-14,Grains/Cereals,8472.0
2018-04-14,Meat/Poultry,32502.0
2018-04-14,Produce,13670.0
2018-04-14,Seafood,19540.0
2018-04-15,Beverages,56361.0
2018-04-15,Condiments,37880.0
2018-04-15,Confections,48061.0
2018-04-15,Dairy Products,27674.0
2018-04-15,Grains/Cereals,20150.0
2018-04-15,Meat/Poultry,39920.0
2018-04-15,Produce,18264.0
2018-04-15,Seafood,24840.0
2018-04-16,Beverages,25020.0
2018-04-16,Condiments,18461.0
2018-04-16,Confections,26731.0
2018-04-16,Dairy Products,18722.0
2018-04-16,Grains/Cereals,6866.0
2018-04-16,Meat/Poultry,26479.0
2018-04-16,Produce,10499.0
2018-04-16,Seafood,12647.0
2018-04-17,Beverages,85178.0
2018-04-17,Condiments,50625.0
2018-04-17,Confections,51589.0
2018-04-17,Dairy Products,43554.0
2018-04-17,Grains/Cereals,27923.0
2018-04-17,Meat/Poultry,56180.0
2018-04-17,Produce,26928.0
2018-04-17,Seafood,40518.0
2018-04-18,Beverages,86511.0
2018-04-18,Condiments,56730.0
2018-04-18,Confections,66151.0
2018-04-18,Dairy Products,63642.0
2018-04-18,Grains/Cereals,28264.0
2018-04-18,Meat/Poultry,67868.0
2018-04-18,Produce,31856.0
2018-04-18,Seafood,43441.0
2018-04-19,Beverages,49949.0
2018-04-19,Condiments,23805.0
2018-04-19,Confections,30448.0
2018-04-19,Dairy Products,24665.0
2018-04-19,Grains/Cereals,8667.0
2018-04-19,Meat/Poultry,37700.0
2018-04-19,Produce,17634.0
2018-04-19,Seafood,26170.0
2018-04-20,Beverages,95314.0
2018-04-20,Condiments,52624.0
2018-04-20,Confections,55804.0
2018-04-20,Dairy Products,58177.0
2018-04-20,Grains/Cereals,29371.0
2018-04-20,Meat/Poultry,61223.0
2018-04-20,Produce,29370.0
2018-04-20,Seafood,53477.0
2018-04-21,Beverages,32845.0
2018-04-21,Condiments,34701.0
2018-04-21,Confections,37658.0
2018-04-21,Dairy Products,40588.0
2018-04-21,Grains/Cereals,14170.0
2018-04-21,Meat/Poultry,24320.0
2018-04-21,Produce,11816.0
2018-04-21,Seafood,26461.0
2018-04-22,Beverages,45437.0
2018-04-22,Condiments,36049.0
2018-04-22,Confections,34353.0
2018-04-22,Dairy Products,37296.0
2018-04-22,Grains/Cereals,13659.0
2018-04-22,Meat/Poultry,31875.0
2018-04-22,Produce,16924.0
2018-04-22,Seafood,22841.0
2018-04-23,Beverages,116125.0
2018-04-23,Condiments,79305.0
2018-04-23,Confections,84173.0
2018-04-23,Dairy Products,93997.0
2018-04-23,Grains/Cereals,41555.0
2018-04-23,Meat/Poultry,81238.0
2018-04-23,Produce,43131.0
2018-04-23,Seafood,64278.0
2018-04-24,Beverages,76597.0
2018-04-24,Condiments,41249.0
2018-04-24,Confections,46840.0
2018-04-24,Dairy Products,43117.0
2018-04-24,Grains/Cereals,15100.0
2018-04-24,Meat/Poultry,42370.0
2018-04-24,Produce,29330.0
2018-04-24,Seafood,37066.0
2018-04-25,Beverages,54111.0
2018-04-25,Condiments,27484.0
2018-04-25,Confections,39204.5
2018-04-25,Dairy Products,39644.0
2018-04-25,Grains/Cereals,14667.0
2018-04-25,Meat/Poultry,26834.0
2018-04-25,Produce,13044.0
2018-04-25,Seafood,25072.0
2018-04-26,Beverages,35714.0
2018-04-26,Condiments,14150.0
2018-04-26,Confections,17399.0
2018-04-26,Dairy Products,22372.0
2018-04-26,Grains/Cereals,8462.0
2018-04-26,Meat/Poultry,28547.0
2018-04-26,Produce,11372.0
2018-04-26,Seafood,14174.0
2018-04-27,Beverages,89078.0
2018-04-27,Condiments,51843.0
2018-04-27,Confections,76882.0
2018-04-27,Dairy Products,59898.0
2018-04-27,Grains/Cereals,29224.0
2018-04-27,Meat/Poultry,60426.0
2018-04-27,Produce,34113.0
2018-04-27,Seafood,48608.0
2018-04-28,Beverages,79110.0
2018-04-28,Condiments,41772.0
2018-04-28,Confections,49440.0
2018-04-28,Dairy Products,49227.0
2018-04-28,Grains/Cereals,21024.0
2018-04-28,Meat/Poultry,53984.0
2018-04-28,Produce,32389.0
2018-04-28,Seafood,42037.0
2018-04-29,Beverages,60397.0
2018-04-29,Condiments,43911.0
2018-04-29,Confections,31719.0
2018-04-29,Dairy Products,37689.0
2018-04-29,Grains/Cereals,15694.0
2018-04-29,Meat/Poultry,38671.0
2018-04-29,Produce,23351.0
2018-04-29,Seafood,37533.0
2018-04-30,Beverages,127586.0
2018-04-30,Condiments,60636.0
2018-04-30,Confections,69220.0
2018-04-30,Dairy Products,71718.0
2018-04-30,Grains/Cereals,31019.0
2018-04-30,Meat/Poultry,74354.0
2018-04-30,Produce,39053.0
2018-04-30,Seafood,65875.0
2018-05-01,Beverages,121010.0
2018-05-01,Condiments,62024.0
2018-05-01,Confections,71814.0
2018-05-01,Dairy Products,71065.0
2018-05-01,Grains/Cereals,33056.0
2018-05-01,Meat/Poultry,75827.0
2018-05-01,Produce,38260.0
2018-05-01,Seafood,56479.0
2018-05-02,Beverages,68928.0
2018-05-02,Condiments,36747.0
2018-05-02,Confections,38159.0
2018-05-02,Dairy Products,37446.0
2018-05-02,Grains/Cereals,20335.0
2018-05-02,Meat/Poultry,39106.0
2018-05-02,Produce,19940.0
2018-05-02,Seafood,30367.0
2018-05-03,Beverages,58019.0
2018-05-03,Condiments,24304.0
2018-05-03,Confections,26687.0
2018-05-03,Dairy Products,22423.0
2018-05-03,Grains/Cereals,10372.0
2018-05-03,Meat/Poultry,29182.0
2018-05-03,Produce,21624.0
2018-05-03,Seafood,27959.0
2018-05-04,Beverages,98377.0
2018-05-04,Condiments,48835.0
2018-05-04,Confections,72860.0
2018-05-04,Dairy Products,50838.0
2018-05-04,Grains/Cereals,23731.0
2018-05-04,Meat/Poultry,61816.0
2018-05-04,Produce,31357.0
2018-05-04,Seafood,50684.0
2018-05-05,Beverages,45302.0
2018-05-05,Condiments,26997.0
2018-05-05,Confections,49162.0
2018-05-05,Dairy Products,28228.0
2018-05-05,Grains/Cereals,17921.0
2018-05-05,Meat/Poultry,57398.0
2018-05-05,Produce,17180.0
2018-05-05,Seafood,33857.0
2018-05-06,Beverages,75271.0
2018-05-06,Condiments,48138.0
2018-05-06,Confections,55273.0
2018-05-06,Dairy Products,54216.0
2018-05-06,Grains/Cereals,26752.0
2018-05-06,Meat/Poultry,41207.0
2018-05-06,Produce,31986.0
2018-05-06,Seafood,39648.0
2018-05-07,Beverages,77682.0
2018-05-07,Condiments,41273.0
2018-05-07,Confections,49285.0
2018-05-07,Dairy Products,41681.0
2018-05-07,Grains/Cereals,16448.0
2018-05-07,Meat/Poultry,70611.0
2018-05-07,Produce,27288.0
2018-05-07,Seafood,46624.0
2018-05-08,Beverages,61749.0
2018-05-08,Condiments,61380.0
2018-05-08,Confections,46618.9
2018-05-08,Dairy Products,54221.0
2018-05-08,Grains/Cereals,27605.0
2018-05-08,Meat/Poultry,51343.0
2018-05-08,Produce,33383.0
2018-05-08,Seafood,34255.0
2018-05-09,Beverages,119263.0
2018-05-09,Condiments,48537.0
2018-05-09,Confections,66096.0
2018-05-09,Dairy Products,49264.0
2018-05-09,Grains/Cereals,27056.0
2018-05-09,Meat/Poultry,40684.0
2018-05-09,Produce,34296.0
2018-05-09,Seafood,46910.0
2018-05-10,Beverages,55736.0
2018-05-10,Condiments,35961.0
2018-05-10,Confections,53039.0
2018-05-10,Dairy Products,40318.0
2018-05-10,Grains/Cereals,21713.0
2018-05-10,Meat/Poultry,40105.0
2018-05-10,Produce,30625.0
2018-05-10,Seafood,41638.0
2018-05-11,Beverages,21326.0
2018-05-11,Condiments,30455.0
2018-05-11,Confections,32431.0
2018-05-11,Dairy Products,27903.0
2018-05-11,Grains/Cereals,19627.0
2018-05-11,Meat/Poultry,30927.0
2018-05-11,Produce,16116.0
2018-05-11,Seafood,29490.0
2018-05-12,Beverages,119731.0
2018-05-12,Condiments,71772.0
2018-05-12,Confections,96769.0
2018-05-12,Dairy Products,77649.0
2018-05-12,Grains/Cereals,42982.0
2018-05-12,Meat/Poultry,89244.0
2018-05-12,Produce,46703.0
2018-05-12,Seafood,76230.0
2018-05-13,Beverages,47388.0
2018-05-13,Condiments,30369.0
2018-05-13,Confections,44628.0
2018-05-13,Dairy Products,28929.0
2018-05-13,Grains/Cereals,19831.0
2018-05-13,Meat/Poultry,27517.0
2018-05-13,Produce,18722.0
2018-05-13,Seafood,27923.0
2018-05-14,Beverages,49910.0
2018-05-14,Condiments,22750.0
2018-05-14,Confections,27433.0
2018-05-14,Dairy Products,34842.0
2018-05-14,Grains/Cereals,10883.0
2018-05-14,Meat/Poultry,37287.0
2018-05-14,Produce,10328.0
2018-05-14,Seafood,28239.0
2018-05-15,Beverages,34597.0
2018-05-15,Condiments,18500.0
2018-05-15,Confections,13088.5
2018-05-15,Dairy Products,20400.0
2018-05-15,Grains/Cereals,12176.0
2018-05-15,Meat/Poultry,26590.0
2018-05-15,Produce,11760.0
2018-05-15,Seafood,19590.6
2018-05-16,Beverages,133866.0
2018-05-16,Condiments,73579.0
2018-05-16,Confections,83707.5
2018-05-16,Dairy Products,76788.0
2018-05-16,Grains/Cereals,40008.0
2018-05-16,Meat/Poultry,86243.0
2018-05-16,Produce,37377.0
