Id,CustomerId,EmployeeId,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,StatusId
10291,QUEDE,6,2018-03-27,2018-04-24,2018-04-04,2,22,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,South America,02389-673,Brazil,2
10292,TRADH,1,2018-03-28,2018-04-25,2018-04-02,2,15,Tradiçao Hipermercados,"Av. Inês de Castro, 414",Sao Paulo,South America,05634-030,Brazil,2
10293,TORTU,1,2018-03-29,2018-04-26,2018-04-11,3,18,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,05033,Mexico,1
10294,RATTC,4,2018-03-30,2018-04-27,2018-04-05,2,29,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA,2
10295,VINET,2,2018-04-02,2018-04-30,2018-04-10,2,11,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,Western Europe,51100,France,0
10296,LILAS,6,2018-04-03,2018-05-01,2018-04-11,1,24,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela,0
10297,BLONP,5,2018-04-04,2018-05-16,2018-04-10,2,30,Blondel père et fils,"24, place Kléber",Strasbourg,Western Europe,67000,France,0
10298,HUNGO,6,2018-04-05,2018-05-03,2018-04-11,2,41,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,British Isles,,Ireland,3
10299,RICAR,4,2018-04-06,2018-05-04,2018-04-13,2,19,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,South America,02389-890,Brazil,2
10300,MAGAA,2,2018-04-09,2018-05-07,2018-04-18,2,23,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,Southern Europe,24100,Italy,2
10301,WANDK,8,2018-04-09,2018-05-07,2018-04-17,2,18,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,Western Europe,70563,Germany,0
10302,SUPRD,4,2018-04-10,2018-05-08,2018-05-09,2,30,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,Western Europe,B-6000,Belgium,0
10303,GODOS,7,2018-04-11,2018-05-09,2018-04-18,2,31,Godos Cocina Típica,"C/ Romero, 33",Sevilla,Southern Europe,41101,Spain,1
10304,TORTU,1,2018-04-12,2018-05-10,2018-04-17,2,21,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,05033,Mexico,2
10305,OLDWO,8,2018-04-13,2018-05-11,2018-05-09,3,30,Old World Delicatessen,2743 Bering St.,Anchorage,North America,99508,USA,1
10306,ROMEY,1,2018-04-16,2018-05-14,2018-04-23,3,16,Romero y tomillo,"Gran Vía, 1",Madrid,Southern Europe,28001,Spain,3
10307,LONEP,2,2018-04-17,2018-05-15,2018-04-25,2,13,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,North America,97219,USA,3
10308,ANATR,7,2018-04-18,2018-05-16,2018-04-24,3,12,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,Central America,05021,Mexico,0
10309,HUNGO,3,2018-04-19,2018-05-17,2018-05-23,1,29,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,British Isles,,Ireland,1
10310,THEBI,8,2018-04-20,2018-05-18,2018-04-27,2,14,The Big Cheese,89 Jefferson Way Suite 2,Portland,North America,97201,USA,2
10311,DUMO,1,2018-04-20,2018-05-04,2018-04-26,3,13,Du monde entier,"67, rue des Cinquante Otages",Nantes,Western Europe,44000,France,2
10312,WANDK,2,2018-04-23,2018-05-21,2018-05-03,2,25,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,Western Europe,70563,Germany,1
10313,QUICK,2,2018-04-24,2018-05-22,2018-05-04,2,13,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany,3
10314,RATTC,1,2018-04-25,2018-05-23,2018-05-04,2,34,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA,0
10315,ISLAT,4,2018-04-26,2018-05-24,2018-05-03,2,21,Island Trading,Garden House Crowther Way,Cowes,British Isles,PO31 7PJ,UK,3
10316,RATTC,1,2018-04-27,2018-05-25,2018-05-08,3,30,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA,1
10317,LONEP,6,2018-04-30,2018-05-28,2018-05-10,1,15,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,North America,97219,USA,3
10318,ISLAT,8,2018-05-01,2018-05-29,2018-05-04,2,17,Island Trading,Garden House Crowther Way,Cowes,British Isles,PO31 7PJ,UK,0
10319,TORTU,7,2018-05-02,2018-05-30,2018-05-11,3,23,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,05033,Mexico,2
10320,WARTH,5,2018-05-03,2018-05-17,2018-05-18,3,18,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,90110,Finland,1
10321,ISLAT,3,2018-05-03,2018-05-31,2018-05-11,2,13,Island Trading,Garden House Crowther Way,Cowes,British Isles,PO31 7PJ,UK,0
10322,PERIC,7,2018-05-04,2018-06-01,2018-05-23,3,15,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,Central America,05033,Mexico,1
10323,KOENE,4,2018-05-07,2018-06-04,2018-05-14,1,13,Königlich Essen,Maubelstr. 90,Brandenburg,Western Europe,14776,Germany,3
10324,SAVEA,9,2018-05-08,2018-06-05,2018-05-10,1,70,Save-a-lot Markets,187 Suffolk Ln.,Boise,North America,83720,USA,2
10325,KOENE,1,2018-05-09,2018-05-23,2018-05-14,3,28,Königlich Essen,Maubelstr. 90,Brandenburg,Western Europe,14776,Germany,1
10326,BOLID,4,2018-05-10,2018-06-07,2018-05-14,2,33,Bólido Comidas preparadas,"C/ Araquil, 67",Madrid,Southern Europe,28023,Spain,2
10327,FOLKO,2,2018-05-11,2018-06-08,2018-05-14,1,45,Folk och fä HB,Åkergatan 24,Bräcke,Northern Europe,S-844 67,Sweden,3
10328,FURIB,4,2018-05-14,2018-06-11,2018-05-17,3,25,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,Southern Europe,1675,Portugal,2
10329,SPLIR,4,2018-05-15,2018-06-26,2018-05-23,2,23,Split Rail Beer & Ale,P.O. Box 555,Lander,North America,82520,USA,2
10330,LILAS,3,2018-05-16,2018-06-13,2018-05-28,1,29,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela,2
10331,BONAP,9,2018-05-16,2018-06-27,2018-05-21,1,14,Bon app',"12, rue des Bouchers",Marseille,Western Europe,13008,France,2
10332,MEREP,3,2018-05-17,2018-06-28,2018-05-21,2,27,Mère Paillarde,43 rue St. Laurent,Montréal,North America,H1J 1C3,Canada,3
10333,WARTH,5,2018-05-18,2018-06-15,2018-05-25,3,25,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,90110,Finland,2
10334,VICTE,8,2018-05-21,2018-06-18,2018-05-28,2,15,Victuailles en stock,"2, rue du Commerce",Lyon,Western Europe,69004,France,3
10335,HUNGO,7,2018-05-22,2018-06-19,2018-05-24,2,32,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,British Isles,,Ireland,1
10336,PRINI,7,2018-05-23,2018-06-20,2018-05-25,2,15,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,Southern Europe,1756,Portugal,0
10337,FRANK,4,2018-05-24,2018-06-21,2018-05-29,3,44,Frankenversand,Berliner Platz 43,München,Western Europe,80805,Germany,1
10338,OLDWO,4,2018-05-25,2018-06-22,2018-05-29,3,19,Old World Delicatessen,2743 Bering St.,Anchorage,North America,99508,USA,1
10339,MEREP,2,2018-05-28,2018-06-25,2018-06-04,2,37,Mère Paillarde,43 rue St. Laurent,Montréal,North America,H1J 1C3,Canada,1
10340,BONAP,1,2018-05-29,2018-06-26,2018-06-08,3,28,Bon app',"12, rue des Bouchers",Marseille,Western Europe,13008,France,1
10341,SIMOB,7,2018-05-29,2018-06-26,2018-06-05,3,14,Simons bistro,Vinbæltet 34,Kobenhavn,Northern Europe,1734,Denmark,1
10342,FRANK,4,2018-05-30,2018-06-13,2018-06-04,2,50,Frankenversand,Berliner Platz 43,München,Western Europe,80805,Germany,1
10343,LEHMS,4,2018-05-31,2018-06-28,2018-06-06,1,27,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,Western Europe,60528,Germany,0
10344,WHITC,4,2018-06-01,2018-06-29,2018-06-05,2,36,White Clover Markets,1029 - 12th Ave. S.,Seattle,North America,98124,USA,3
10345,QUICK,2,2018-06-04,2018-07-02,2018-06-11,2,50,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany,2
10346,RATTC,3,2018-06-05,2018-07-17,2018-06-08,3,24,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA,1
10347,FAMIA,4,2018-06-06,2018-07-04,2018-06-08,3,28,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,South America,05442-030,Brazil,0
10348,WANDK,4,2018-06-07,2018-07-05,2018-06-15,2,20,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,Western Europe,70563,Germany,0
10349,SPLIR,7,2018-06-08,2018-07-06,2018-06-15,1,16,Split Rail Beer & Ale,P.O. Box 555,Lander,North America,82520,USA,3
10350,LAMAI,6,2018-06-11,2018-07-09,2018-07-03,2,18,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,Western Europe,31000,France,3
10351,ERNSH,1,2018-06-11,2018-07-09,2018-06-20,1,40,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria,2
10352,FURIB,3,2018-06-12,2018-06-26,2018-06-18,3,18,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,Southern Europe,1675,Portugal,1
10353,PICCO,7,2018-06-13,2018-07-11,2018-06-25,3,26,Piccolo und mehr,Geislweg 14,Salzburg,Western Europe,5020,Austria,2
10354,PERIC,8,2018-06-14,2018-07-12,2018-06-20,3,14,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,Central America,05033,Mexico,2
10355,AROUT,6,2018-06-15,2018-07-13,2018-06-20,1,23,Around the Horn,Brook Farm Stratford St. Mary,Colchester,British Isles,CO7 6JX,UK,0
10356,WANDK,6,2018-06-18,2018-07-16,2018-06-27,2,26,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,Western Europe,70563,Germany,0
10357,LILAS,1,2018-06-19,2018-07-17,2018-07-02,3,24,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela,0
10358,LAMAI,5,2018-06-20,2018-07-18,2018-06-27,1,20,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,Western Europe,31000,France,0
10359,SEVES,5,2018-06-21,2018-07-19,2018-06-26,3,62,Seven Seas Imports,90 Wadhurst Rd.,London,British Isles,OX15 4NB,UK,2
10360,BLONP,4,2018-06-22,2018-07-20,2018-07-02,3,45,Blondel père et fils,"24, place Kléber",Strasbourg,Western Europe,67000,France,3
10361,QUICK,1,2018-06-22,2018-07-20,2018-07-03,2,37,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany,0
10362,BONAP,3,2018-06-25,2018-07-23,2018-06-28,1,34,Bon app',"12, rue des Bouchers",Marseille,Western Europe,13008,France,1
10363,DRACD,4,2018-06-26,2018-07-24,2018-07-04,3,21,Drachenblut Delikatessen,Walserweg 21,Aachen,Western Europe,52066,Germany,3
10364,EASTC,1,2018-06-26,2018-08-07,2018-07-04,1,19,Eastern Connection,35 King George,London,British Isles,WX3 6FW,UK,0
10365,ANTO,3,2018-06-27,2018-07-25,2018-07-02,2,16,Antonio Moreno Taquería,Mataderos  2312,México D.F.,Central America,05023,Mexico,3
10366,GALED,8,2018-06-28,2018-08-09,2018-07-30,2,13,Galería del gastronómo,"Rambla de Cataluña, 23",Barcelona,Southern Europe,8022,Spain,0
10367,VAFFE,7,2018-06-28,2018-07-26,2018-07-02,3,29,Vaffeljernet,Smagsloget 45,Århus,Northern Europe,8200,Denmark,2
10368,ERNSH,2,2018-06-29,2018-07-27,2018-07-02,2,30,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria,2
10369,SPLIR,8,2018-07-02,2018-07-30,2018-07-09,2,20,Split Rail Beer & Ale,P.O. Box 555,Lander,North America,82520,USA,0
10370,CHOPS,6,2018-07-03,2018-07-31,2018-07-27,2,26,Chop-suey Chinese,Hauptstr. 31,Bern,Western Europe,3012,Switzerland,2
10371,LAMAI,1,2018-07-03,2018-07-31,2018-07-24,1,12,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,Western Europe,31000,France,0
10372,QUEE,5,2018-07-04,2018-08-01,2018-07-09,2,51,Queen Cozinha,"Alameda dos Canàrios, 891",Sao Paulo,South America,05487-020,Brazil,1
10373,HUNGO,4,2018-07-05,2018-08-02,2018-07-11,3,43,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,British Isles,,Ireland,0
10374,WOLZA,1,2018-07-05,2018-08-02,2018-07-09,3,21,Wolski Zajazd,ul. Filtrowa 68,Warszawa,Eastern Europe,01-012,Poland,0
10375,HUNGC,3,2018-07-06,2018-08-03,2018-07-09,2,16,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,North America,97827,USA,1
10376,MEREP,1,2018-07-09,2018-08-06,2018-07-13,2,21,Mère Paillarde,43 rue St. Laurent,Montréal,North America,H1J 1C3,Canada,2
10377,SEVES,1,2018-07-09,2018-08-06,2018-07-13,3,20,Seven Seas Imports,90 Wadhurst Rd.,London,British Isles,OX15 4NB,UK,0
10378,FOLKO,5,2018-07-10,2018-08-07,2018-07-19,3,12,Folk och fä HB,Åkergatan 24,Bräcke,Northern Europe,S-844 67,Sweden,2
10379,QUEDE,2,2018-07-11,2018-08-08,2018-07-13,1,21,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,South America,02389-673,Brazil,0
10380,HUNGO,8,2018-07-12,2018-08-09,2018-08-16,3,29,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,British Isles,,Ireland,3
10381,LILAS,3,2018-07-12,2018-08-09,2018-07-13,3,14,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela,3
10382,ERNSH,4,2018-07-13,2018-08-10,2018-07-16,1,51,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria,3
10383,AROUT,8,2018-07-16,2018-08-13,2018-07-18,3,24,Around the Horn,Brook Farm Stratford St. Mary,Colchester,British Isles,CO7 6JX,UK,1
10384,BERGS,3,2018-07-16,2018-08-13,2018-07-20,3,21,Berglunds snabbköp,Berguvsvägen  8,Luleå,Northern Europe,S-958 22,Sweden,2
10385,SPLIR,1,2018-07-17,2018-08-14,2018-07-23,2,20,Split Rail Beer & Ale,P.O. Box 555,Lander,North America,82520,USA,3
10386,FAMIA,9,2018-07-18,2018-08-01,2018-07-25,3,16,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,South America,05442-030,Brazil,3
10387,SANTG,1,2018-07-18,2018-08-15,2018-07-20,2,22,Santé Gourmet,Erling Skakkes gate 78,Stavern,Scandinavia,4110,Norway,1
10388,SEVES,2,2018-07-19,2018-08-16,2018-07-20,1,29,Seven Seas Imports,90 Wadhurst Rd.,London,British Isles,OX15 4NB,UK,3
10389,BOTTM,4,2018-07-20,2018-08-17,2018-07-24,2,30,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,North America,T2F 8M4,Canada,2
10390,ERNSH,6,2018-07-23,2018-08-20,2018-07-26,1,52,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria,2
10391,DRACD,3,2018-07-23,2018-08-20,2018-07-31,3,15,Drachenblut Delikatessen,Walserweg 21,Aachen,Western Europe,52066,Germany,2
10392,PICCO,2,2018-07-24,2018-08-21,2018-08-01,3,23,Piccolo und mehr,Geislweg 14,Salzburg,Western Europe,5020,Austria,1
10393,SAVEA,1,2018-07-25,2018-08-22,2018-08-03,3,54,Save-a-lot Markets,187 Suffolk Ln.,Boise,North America,83720,USA,0
10394,HUNGC,1,2018-07-25,2018-08-22,2018-08-03,3,15,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,North America,97827,USA,0
10395,HILAA,6,2018-07-26,2018-08-23,2018-08-03,1,37,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,South America,5022,Venezuela,0
10396,FRANK,1,2018-07-27,2018-08-10,2018-08-06,3,40,Frankenversand,Berliner Platz 43,München,Western Europe,80805,Germany,2
10397,PRINI,5,2018-07-27,2018-08-24,2018-08-02,1,17,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,Southern Europe,1756,Portugal,1
10398,SAVEA,2,2018-07-30,2018-08-27,2018-08-09,3,48,Save-a-lot Markets,187 Suffolk Ln.,Boise,North America,83720,USA,1
10399,VAFFE,8,2018-07-31,2018-08-14,2018-08-08,3,45,Vaffeljernet,Smagsloget 45,Århus,Northern Europe,8200,Denmark,3
10400,EASTC,1,2018-08-01,2018-08-29,2018-08-16,3,32,Eastern Connection,35 King George,London,British Isles,WX3 6FW,UK,3
10401,RATTC,1,2018-08-01,2018-08-29,2018-08-10,1,52,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA,0
10402,ERNSH,8,2018-08-02,2018-09-13,2018-08-10,2,41,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria,3
10403,ERNSH,4,2018-08-03,2018-08-31,2018-08-09,3,33,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria,0
10404,MAGAA,2,2018-08-03,2018-08-31,2018-08-08,1,35,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,Southern Europe,24100,Italy,0
10405,LINOD,1,2018-08-06,2018-09-03,2018-08-22,1,23,LINO-Delicateses,Ave. 5 de Mayo Porlamar,I. de Margarita,South America,4980,Venezuela,1
10406,QUEE,7,2018-08-07,2018-09-18,2018-08-13,1,32,Queen Cozinha,"Alameda dos Canàrios, 891",Sao Paulo,South America,05487-020,Brazil,3
10407,OTTIK,2,2018-08-07,2018-09-04,2018-08-30,2,25,Ottilies Käseladen,Mehrheimerstr. 369,Köln,Western Europe,50739,Germany,2
10408,FOLIG,8,2018-08-08,2018-09-05,2018-08-14,1,23,Folies gourmandes,"184, chaussée de Tournai",Lille,Western Europe,59000,France,0
10409,OCEA,3,2018-08-09,2018-09-06,2018-08-14,1,16,Océano Atlántico Ltda.,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,South America,1010,Argentina,1
10410,BOTTM,3,2018-08-10,2018-09-07,2018-08-15,3,26,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,North America,T2F 8M4,Canada,2
10411,BOTTM,9,2018-08-10,2018-09-07,2018-08-21,3,29,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,North America,T2F 8M4,Canada,2
10412,WARTH,8,2018-08-13,2018-09-10,2018-08-15,2,15,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,90110,Finland,3
10413,LAMAI,3,2018-08-14,2018-09-11,2018-08-16,2,30,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,Western Europe,31000,France,3
10414,FAMIA,2,2018-08-14,2018-09-11,2018-08-17,3,27,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,South America,05442-030,Brazil,1
10415,HUNGC,3,2018-08-15,2018-09-12,2018-08-24,1,16,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,North America,97827,USA,2
10416,WARTH,8,2018-08-16,2018-09-13,2018-08-27,3,23,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,90110,Finland,3
10417,SIMOB,4,2018-08-16,2018-09-13,2018-08-28,3,41,Simons bistro,Vinbæltet 34,Kobenhavn,Northern Europe,1734,Denmark,1
10418,QUICK,4,2018-08-17,2018-09-14,2018-08-24,1,47,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany,0
10419,RICSU,4,2018-08-20,2018-09-17,2018-08-30,2,30,Richter Supermarkt,Starenweg 5,Genève,Western Europe,1204,Switzerland,1
10420,WELLI,3,2018-08-21,2018-09-18,2018-08-27,1,23,Wellington Importadora,"Rua do Mercado, 12",Resende,South America,08737-363,Brazil,2
10421,QUEDE,8,2018-08-21,2018-10-04,2018-08-27,1,25,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,South America,02389-673,Brazil,0
10422,FRANS,2,2018-08-22,2018-09-19,2018-08-31,1,11,Franchi S.p.A.,Via Monte Bianco 34,Torino,Southern Europe,10100,Italy,2
